2020-08-14 21:30:39,456 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfa8>)
2020-08-14 21:30:39,960 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598be40>)
2020-08-14 21:30:40,463 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfd0>)
2020-08-14 21:30:40,966 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598be40>)
2020-08-14 21:30:41,470 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfa8>)
2020-08-14 21:30:41,973 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598be40>)
2020-08-14 21:30:42,477 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfd0>)
2020-08-14 21:30:42,982 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:43,485 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfa8>)
2020-08-14 21:30:43,989 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:44,494 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfd0>)
2020-08-14 21:30:44,998 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:45,502 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfa8>)
2020-08-14 21:30:46,005 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:46,509 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfd0>)
2020-08-14 21:30:47,013 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:47,517 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfa8>)
